,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
0,https://kream.co.kr/products/83900?fetchRelated=true,71000,Jordan,Jordan 1 Retro High OG Chicago 2022,조던 1 레트로 하이 OG 시카고 2022,58000,5749,"209,000원",DZ5485-612,22/12/01,Varsity Red/Black/Sail/Muslin
1,https://kream.co.kr/products/84904?fetchRelated=true,6576,Jordan,(GS) Jordan 1 Retro High OG Chicago 2022,(GS) 조던 1 레트로 하이 OG 시카고 2022,9481,701,"159,000원",FD1437-612,22/12/01,Varsity Red/Black/Sail/Muslin
2,https://kream.co.kr/products/84906?fetchRelated=true,1309,Jordan,(TD) Jordan 1 Retro High OG Chicago 2022,(TD) 조던 1 레트로 하이 OG 시카고 2022,1091,219,"99,000원",FD1413-612,22/12/01,Varsity Red/Black/Sail/Muslin
3,https://kream.co.kr/products/84905?fetchRelated=true,946,Jordan,(PS) Jordan 1 Retro High OG Chicago 2022,(PS) 조던 1 레트로 하이 OG 시카고 2022,963,169,"109,000원",FD1412-612,22/12/01,Varsity Red/Black/Sail/Muslin
