,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
33,https://kream.co.kr/products/27295?fetchRelated=true,1932,Nike,Nike x Sean Cliver SB Dunk Low Holiday Special,나이키 x 션 클리버 SB 덩크 로우 홀리데이 스페셜,4565,453,"129,000원",DC9936-100,20/12/19,Ice Blue/White-Metallic Gold-Metallic Silver
34,https://kream.co.kr/products/23950?fetchRelated=true,1020,Nike,Nike x Ben & Jerry's SB Dunk Low Chunky Dunky,나이키 x 벤앤제리스 SB 덩크 로우 청키 덩키,3171,344,"129,000원",CU3244-100,20/05/26,White/Lagoon Pulse/Black/University Gold
35,https://kream.co.kr/products/23945?fetchRelated=true,413,Nike,Nike SB Dunk Low Laser Orange,나이키 SB 덩크 로우 레이저 오렌지,1656,118,"$100 (약 131,000원)",BQ6817-800,20/04/10,White/Regency Purple-Laser Orange
36,https://kream.co.kr/products/212932?fetchRelated=true,527,Nike,Nike x The Powerpuff Girls SB Dunk Low Pro QS Buttercup,나이키 x 파워퍼프걸 SB 덩크 로우 프로 QS 버터컵,1083,70,"159,000원",FZ8319-300,23/12/15,Mean Green/Black/Lotus Pink
37,https://kream.co.kr/products/69540?fetchRelated=true,3723,Nike,Nike SB Dunk Low Pro Premium Deep Royal Blue,나이키 SB 덩크 로우 프로 프리미엄 딥 로얄 블루,11000,264,"139,000원",DO9395-400,22/07/26,Deep Royal Blue/White/Sport Red/Gum Light Brown
38,https://kream.co.kr/products/45504?fetchRelated=true,1492,Nike,Nike SB Dunk Low Pro Chlorophyll,나이키 SB 덩크 로우 프로 클로로필,4036,120,"129,000원",BQ6817-011,22/02/18,Grey/White-Chlorophyll-Black
39,https://kream.co.kr/products/292017?fetchRelated=true,30,Nike,Nike SB Dunk Low Pro University Red White,나이키 SB 덩크 로우 프로 유니버시티 레드 화이트,191,6,"139,000원",FJ1674-600,24/05/21,University Red/White
40,https://kream.co.kr/products/181381?fetchRelated=true,488,Nike,Nike x Born X Raised SB Dunk Low Pro QS One Block at a Time,나이키 x 본앤레이즈드 SB 덩크 로우 프로 QS 원 블락 앳 어 타임,3356,45,"159,000원",FN7819-400,23/09/29,Deep Royal Blue/White/White
41,https://kream.co.kr/products/161876?fetchRelated=true,480,Nike,Nike x Yuto Horigome SB Dunk Low Wolf Grey,나이키 x 유토 호리고메 SB 덩크 로우 울프 그레이,3133,69,"169,000원",FQ1180-001,23/08/25,Wolf Grey/Iron Grey/Sail
42,https://kream.co.kr/products/30610?fetchRelated=true,944,Nike,Nike x Supreme SB Dunk Low Black,나이키 x 슈프림 SB 덩크 로우 블랙,2373,222,"$110 (약 144,100원)",DH3228-102,21/03/04,White/Metallic Gold/Black
43,https://kream.co.kr/products/29072?fetchRelated=true,879,Nike,Nike SB Dunk Low Pro Blue Chill,나이키 SB 덩크 로우 프로 블루 칠,2110,111,"119,000원",BQ6817-401,21/03/03,Blue Chill/Safety Orange-Black-White
44,https://kream.co.kr/products/215400?fetchRelated=true,109,Nike,(PS) Nike x The Powerpuff Girls SB Dunk Low Pro QS Blossom,(PS) 나이키 x 파워퍼프걸 SB 덩크 로우 프로 QS 블라썸,107,7,"119,000원",FZ3351-600,23/12/15,Lotus Pink/Digital Pink/Medium Soft Pink
45,https://kream.co.kr/products/108600?fetchRelated=true,804,Nike,Nike x Fly Streetwear SB Dunk Low Pro Gardenia,나이키 x 플라이 스트릿웨어 SB 덩크 로우 프로 가데니아,4218,52,"159,000원",DQ5130-400,23/03/23,Game Royal/Sail/Grey Fog
46,https://kream.co.kr/products/26451?fetchRelated=true,325,Nike,Nike SB Dunk Low Pro Wheat 2020,나이키 SB 덩크 로우 프로 위트 2020,1241,45,"119,000원",BQ6817-204,20/11/26,Flax/Flax/Flax/Baroque Brown
47,https://kream.co.kr/products/212926?fetchRelated=true,391,Nike,Nike x The Powerpuff Girls SB Dunk Low Pro QS Blossom,나이키 x 파워퍼프걸 SB 덩크 로우 프로 QS 블라썸,619,40,"159,000원",FD2631-600,23/12/15,Lotus Pink/Digital Pink/Medium Soft Pink
48,https://kream.co.kr/products/97915?fetchRelated=true,559,Nike,Nike Dunk Low Pro SB Wolf Grey White,나이키 덩크 로우 프로 SB 울프 그레이 화이트,1583,31,"139,000원",DV5464-001,23/02/01,Wolf Grey/White/Wolf Grey
49,https://kream.co.kr/products/88976?fetchRelated=true,1875,Nike,Nike x Concepts SB Dunk Low Orange Lobster (Regular Box),나이키 x 컨셉트 SB 덩크 로우 오렌지 랍스터 (레귤러 박스),1368,151,"149,000원",FD8776-800,22/12/20,Orange Frost/Electro Orange/White
