,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
31,https://kream.co.kr/products/29072?fetchRelated=true,879,Nike,Nike SB Dunk Low Pro Blue Chill,나이키 SB 덩크 로우 프로 블루 칠,2110,111,"119,000원",BQ6817-401,21/03/03,Blue Chill/Safety Orange-Black-White
32,https://kream.co.kr/products/84856?fetchRelated=true,215,Nike,Nike x HUF SB Dunk Low New York,나이키 x 허프 SB 덩크 로우 뉴욕,2049,28,"129,000원",FD8775-100,22/11/22,White/Vast Grey/Midnight Navy
33,https://kream.co.kr/products/35186?fetchRelated=true,587,Nike,Nike SB Dunk Low Pro ISO Orange Label White Navy,나이키 SB 덩크 로우 프로 ISO 오렌지 라벨 화이트 네이비,2030,57,"129,000원",CZ2249-100,21/05/27,White/Navy/White/Safety Orange
34,https://kream.co.kr/products/43604?fetchRelated=true,1193,Nike,Nike SB Dunk Low Pro Premium Mummy,나이키 SB 덩크 로우 프로 프리미엄 머미,1937,128,"149,000원",DM0774-111,21/10/25,Coconut Milk/Seafoam-Yellow Strike
35,https://kream.co.kr/products/26711?fetchRelated=true,610,Nike,Nike x Frame Skate SB Dunk Low Pro Habibi,나이키 x 프레임 스케이트 SB 덩크 로우 프로 하비비,1804,218,"$110 (약 144,100원)",CT2550-600,20/12/05,Chile Red/White/Lucky Green/Black
36,https://kream.co.kr/products/252673?fetchRelated=true,1223,Nike,Nike x Rayssa Leal SB Dunk Low PRM Pure Platinum Vivid Purple,나이키 x 레이사 릴 SB 덩크 로우 프리미엄 퓨어 플래티넘 비비드 퍼플,1796,88,"149,000원",FZ5251-001,24/03/19,Pure Platinum/Vivid Purple/Deep Royal Blue
37,https://kream.co.kr/products/23945?fetchRelated=true,413,Nike,Nike SB Dunk Low Laser Orange,나이키 SB 덩크 로우 레이저 오렌지,1655,118,"$100 (약 131,000원)",BQ6817-800,20/04/10,White/Regency Purple-Laser Orange
38,https://kream.co.kr/products/96539?fetchRelated=true,701,Nike,Nike SB Dunk Low Pro Black White,나이키 SB 덩크 로우 프로 블랙 화이트,1643,53,"139,000원",CD2563-006,23/01/19,Black/White/Black
39,https://kream.co.kr/products/64591?fetchRelated=true,224,Nike,Nike SB Dunk Low Pro Sour Apple,나이키 SB 덩크 로우 프로 사워 애플,1619,21,"129,000원",DM0807-300,22/06/15,Atomic Green/Chlorophyll
40,https://kream.co.kr/products/82255?fetchRelated=true,354,Nike,Nike x Neckface SB Dunk Low Pro Black,나이키 x 넥페이스 SB 덩크 로우 프로 블랙,1612,48,"129,000원",DQ4488-001,22/10/27,Black/White/Multicolor
41,https://kream.co.kr/products/80887?fetchRelated=true,297,Nike,Nike x Skate Like a Girl SB Dunk Low QS Barely Rose,나이키 x 스케이트 라이크 어 걸 SB 덩크 로우 QS 베얼리 로즈,1600,28,"149,000원",DX4589-600,22/10/15,Summit White/Barely Rose/University Red/Coconut Milk/Black
42,https://kream.co.kr/products/97915?fetchRelated=true,559,Nike,Nike Dunk Low Pro SB Wolf Grey White,나이키 덩크 로우 프로 SB 울프 그레이 화이트,1583,31,"139,000원",DV5464-001,23/02/01,Wolf Grey/White/Wolf Grey
43,https://kream.co.kr/products/30612?fetchRelated=true,490,Nike,Nike x Supreme SB Dunk Low Hyper Blue,나이키 x 슈프림 SB 덩크 로우 하이퍼 블루,1570,198,"$110 (약 144,100원)",DH3228-100,21/03/04,White/Metallic Gold/Hyper Blue
44,https://kream.co.kr/products/34689?fetchRelated=true,1193,Nike,Nike SB Dunk Low What The Paul,나이키 SB 덩크 로우 왓 더 폴,1552,134,"179,000원",CZ2239-600,21/05/24,Multicolor/Multicolor
45,https://kream.co.kr/products/341669?fetchRelated=true,258,Nike,Nike x Verdy SB Dunk Low Pro Blue Gaze and Enamel Green,나이키 x 베르디 SB 덩크 로우 프로 블루 게이즈 앤 에나멜 그린,1546,53,"159,000원",FN6040-400,24/09/05,Blue/Green/Pink
46,https://kream.co.kr/products/60762?fetchRelated=true,345,Nike,Nike SB Dunk Low Premium Valor Blue and Team Maroon,나이키 SB 덩크 로우 프리미엄 베일러 블루 앤 팀 마룬,1505,28,"139,000원",DQ4040-400,22/06/07,Valour Blue/Team Maroon/White/Gum
47,https://kream.co.kr/products/287503?fetchRelated=true,548,Nike,Nike x Futura Laboratories SB Dunk Low OG QS White and Geode Teal,나이키 x 퓨추라 래버러토리 SB 덩크 로우 OG QS 화이트 앤 지오드 틸,1461,48,"159,000원",HF6061-400,24/05/15,Bleached Aqua/Geode Teal/White
48,https://kream.co.kr/products/165049?fetchRelated=true,502,Nike,Nike Dunk Low Pro SB Court Purple,나이키 덩크 로우 프로 SB 코트 퍼플,1461,58,"149,000원",DV5464-500,23/08/22,Court Purple/Court Purple/White/Gum Light Brown
49,https://kream.co.kr/products/323780?fetchRelated=true,511,Nike,Nike x There SB Dunk Low Pro Anthracite and Gorge Green,나이키 x 데어 SB 덩크 로우 프로 앤트러사이트 앤 골지 그린,1397,61,"159,000원",HF7743-001,24/08/02,Black/Gorge Green/Summit White
